Idx,file,SPAD,A1200,N,Ca,Cb
1,2023070410,97.38571068577662,21.180642123204063,-5.184010890372436,12.800492371172144,3.041376429616291,3.041376429616291
2,2023070410,92.20710112068946,17.07086263666529,-3.799390807762973,19.116480712328855,4.864804689299197,4.864804689299197
3,2023070410,99.31762327180925,16.865909419265776,-6.486896405734674,22.619516575544107,5.742838446687161,5.742838446687161
4,2023070410,96.74451849989231,17.15812119460267,-5.485878582580391,20.964537691264724,5.330374503812841,5.330374503812841
5,2023070410,94.93898524557483,13.532298707118697,-5.889363837709599,21.306260026994458,5.405452910516157,5.405452910516157
6,2023070410,101.89687086557481,29.132267947655073,-5.249051103391372,19.787154954315692,5.085166671463488,5.085166671463488
7,2023070410,90.15673974082446,23.480128498437406,-2.7893377705745164,16.166644199583544,4.1358786219607735,4.1358786219607735
8,2023070410,84.22717711905375,22.298045784655336,-1.3739343870070182,14.760008526844917,3.7786679881064766,3.7786679881064766
9,2023070410,94.74311418624934,24.816966410321097,-4.600825512952445,18.789766653756363,4.835417592352728,4.835417592352728
10,2023070410,90.31142213967686,24.196135286006683,-3.2118644989222402,17.02162434495594,4.370208371249697,4.370208371249697
11,2023070410,104.48355762023752,16.387511074994315,-9.417393633531537,26.631734945858703,6.745401220189978,6.745401220189978
